bmrk_eng_nm,bmrk_nm,curr_cd,exchdg_yn,fd_estb_ctry_cd,fd_ivst_rgn_desc,fd_mm18_ern_r,fd_mm1_ern_r,fd_mm3_ern_r,fd_mm6_ern_r,fd_nast_suma,fd_set_pcd,fd_wk1_ern_r,fd_yr1_ern_r,fd_yr2_ern_r,fd_yr3_ern_r,fd_yr5_ern_r,frc_bpr_itm_yn,fss_itm_no,hdge_fd_yn,int_dvd_desc,itm_abrv_nm,itm_eabrv_nm,itm_eng_nm,itm_nm,itm_no,kofia_fd_ccd,ksd_itm_no,mtco_itm_no,ofsfd_yn,or_attr_desc,or_co_xtn_itt_cd,ovrs_fd_desc,pers_corp_desc,pfiv_sale_cntl_tcd,prvo_fd_desc,prvo_pbff_desc,rptt_ksd_itm_no,sale_yn,std_itm_no,thco_sale_yn,trusc_xtn_itt_cd,zrin_fd_ivst_risk_gcd,zrin_fd_ivst_risk_grd_nm,risk_grade,risk_available,as_of_date,source_table
채권종합지수 1~2Y,채권종합지수 1~2년,KRW,,000,국내,,,,,,20,,,,,,0,000000000000,0,배당,하나한전KB주가연계2,,HANA UBS HANJUN-KB INDEX ELF NO.2,하나UBS한국전력-국민은행주가연계파생상품투자신탁제2호,KR512306004M,00000000000000000000,KRZ500351580,22752,0,06,00040005,국내,해당없음,00,해당없음,공모,000000000000,판매완료,KR5102686031,,00050004,,,,False,2026-07-11,PRFD01N001
KOSPI 200,KOSPI200,KRW,,000,국내,,,,,2638249482.0000,10,,,,,,0,000000000000,0,배당,한화코리아레전드자2호(주식)C1,,한화코리아레전드증권자투자신탁2호(주식) 종류C1,한화코리아레전드증권자투자신탁2호(주식) 종류C1,KR5135450022,00000000000000000000,KRZ500356777,0062040,0,주식형,00040027,국내,해당없음,00,해당없음,공모,030220162040,판매중,KR5103692327,Y,00020054,1,매우 높은 위험,1.0,True,2026-07-11,PRFD01N001
MSCI EM EMEA,MSCI EM EMEA,KRW,N,000,중동/아프리카,,,,,3195656379.0000,10,,,,,,0,0011777C0023,0,배당,한화중동&아프리카증권자투자신탁(주식)A,,HANWHA MIDDLE EAST&AFRICA SECURITIES FEEDER INVESTMENT TRUST (EQUITY) CLASS A,한화중동&아프리카증권자투자신탁(주식)A,KR5170651001,12123212001281111262,KRZ500375191,0200151,0,주식형,00040027,해외,해당없음,00,해당없음,공모,030220200151,판매완료,KR5237713288,Y,00020054,,,,False,2026-07-11,PRFD01N001
MSCI ACWI CR 50% + KAP Bond Index 01Y 50%,MSCI ACWI CR 50% + 종합채권01Y 50%,KRW,Y,000,글로벌,33.80,1.79,17.80,20.52,613567325102.0000,10,2.91,33.26,41.23,59.67,,0,0010198C5262,0,배당,KB다이나믹적격TDF2030증투신(주혼재)C-E,,KB 다이나믹 적격TDF 2030 증권 자투자신탁(주식혼합-재간접형) C-E,KB 다이나믹 적격TDF 2030 증권 자투자신탁(주식혼합-재간접형) C-E,KR5127490273,161236120010211ZZZZC,KRZ502470305,00031C2,0,재간접,00040035,해외,해당없음,00,해당없음,공모,0302300031C2,판매중,K55223DJ7069,Y,00020027,3,다소 높은 위험,3.0,True,2026-07-11,PRFD01N001
KOSPI 200,KOSPI200,KRW,,000,국내,256.62,3.01,53.48,109.48,141997560094.0000,10,10.16,194.56,223.82,256.27,198.87,0,0011959C0039,0,배당,트러스톤칭기스칸증권투자신탁(주식)C3,,TRUSTON GENGHIS KHAN EQUITY FUNDCLASS 09,트러스톤칭기스칸증권투자신탁[주식]C3클래스,KR5172450023,12111412001011111113,KRZ500497419,0036301,0,주식형,00080043,국내,해당없음,00,해당없음,공모,029000036301,판매중,KR5363940473,Y,00020004,2,높은 위험,2.0,True,2026-07-11,PRFD01N001
JP Morgan EMBI Global Diversified Index(KRW) 90% + CALL 10%,JP Morgan EMBI Global Diversified Index(KRW) 90% + CALL 10%,KRW,N,000,글로벌,23.48,2.58,4.18,7.01,108939311709.0000,10,-0.72,25.40,38.51,69.05,57.19,0,0010173C7092,0,배당,삼성누버거이머징국공채자UH(채-재)Cpe퇴직,,SAMSUNG NEUBERGER BERMAN EMERGING GOVERNMENT PLUS FEEDER FUND UH(BOND-FOFS)CPE-퇴직,삼성누버거버먼이머징국공채플러스증권자투자신탁UH(채권-재간접형)Cpe(퇴직연금),KR5114490142,161236120602332ZZZZ3,KRZ50208205E,01MC211,0,재간접,00040010,해외,해당없음,00,해당없음,공모,0302001MC200,판매중,K55105BT7674,Y,00020054,3,다소 높은 위험,3.0,True,2026-07-11,PRFD01N001
MSCI EM ASIA,MSCI EM ASIA,KRW,Y,000,아시아,,,,,,10,,,,,,0,000000000000,0,배당,하이파워아시아1주식B,,하이파워아시아증권투자신탁 1[주식-재간접형]C-B,하이파워아시아증권투자신탁 1[주식-재간접형]C-B,KR5116800002,00000000000000000000,KRZ500251072,AD038,0,재간접,00040018,해외,해당없음,00,해당없음,공모,0304200AD032,판매완료,KR5104647221,Y,00020004,,,,False,2026-07-11,PRFD01N001
KAP Bond Index 02Y 90%,종합채권02Y 90%,KRW,,000,국내,,0.08,0.26,0.66,97901348688.0000,10,0.22,1.48,,,,0,0010190C6601,0,배당,유진챔피언중단기크레딧(채권)A,,유진챔피언중단기크레딧증권투자신탁(채권) CLASS A,유진챔피언중단기크레딧증권투자신탁(채권) Class A,KR5122420010,11111212001013122ZZ5,KRZ502569811,0057553,0,채권형,00040026,국내,해당없음,00,해당없음,공모,030460057553,판매중,K55214E69078,Y,00020003,5,낮은 위험,5.0,True,2026-07-11,PRFD01N001
MSCI ACWI CR 50% + KAP Bond Index 01Y 50%,MSCI ACWI CR 50% + 종합채권01Y 50%,KRW,Y,000,글로벌,28.83,0.81,13.92,15.94,526556871.0000,10,1.83,29.06,36.16,56.17,47.57,0,000000000000,0,배당,미래에셋ETF로자산배분적격TDF20402(주혼재)CP,,미래에셋ETF로자산배분적격TDF2040증권자투자신탁2호(주식혼합-재간접형)종류C-P,미래에셋ETF로자산배분적격TDF2040증권자투자신탁2호(주식혼합-재간접형)종류C-P,KR513509060M,00000000000000000000,KRZ501707007,470065,0,재간접,00080008,국내외혼합,개인,00,해당없음,공모,031910470065,판매중,K55301BM5966,Y,00020088,3,다소 높은 위험,3.0,True,2026-07-11,PRFD01N001
KOSPI 200,KOSPI200,KRW,,000,국내,0.00,0.00,0.00,-1.55,141997560094.0000,10,0.00,0.00,-13.36,-4.46,-20.06,0,000000000000,0,배당,트러스톤칭기스칸증권투자신탁(주식)C2,,Truston Genghis Khan Equity FundClass 08,트러스톤칭기스칸증권투자신탁[주식]C2클래스,KR5172450022,00000000000000000000,KRZ500497418,0036301,0,주식형,00080043,국내,해당없음,00,해당없음,공모,029000036301,판매중,KR5363940366,Y,00020004,2,높은 위험,2.0,True,2026-07-11,PRFD01N001
KOSPI 200,KOSPI200,KRW,,000,국내,,-4.80,12.44,43.52,40038952889.0000,10,8.24,,,,,0,0010660C8685,0,배당,한국투자지배구조주주환원(주식)(A-e),,한국투자지배구조주주환원증권투자신탁(주식)(A-E),한국투자지배구조주주환원증권투자신탁(주식)(A-e),KR5113459030,12111612001011111ZZ2,KRZ502584612,0007Q80,0,주식형,00040024,국내,해당없음,00,해당없음,공모,032280007Q80,판매중,K55101E50820,Y,00020027,2,높은 위험,2.0,True,2026-07-11,PRFD01N001
ZEROIN AI Expected Return Index,제로인 대안투자기대수익지수,KRW,,000,국내,,,,,,20,,,,,,0,000000000000,0,배당,미래터전KTB부동산2,,MIRAETURJEON KTB REAL ESTATE FUND 2,미래터전KTB부동산투자신탁제2호,KR512807003M,00000000000000000000,KR5733017R77,18011,0,임대형,00080013,국내,해당없음,00,해당없음,공모,032400018011,판매완료,KR5306502901,,00020004,,,,False,2026-07-11,PRFD01N001
KOSPI200 50% + KAP Bond Index 01Y 50%,KOSPI200 50% + 종합채권01Y 50%,KRW,,000,국내,250.50,6.11,58.24,105.36,55411094861.0000,10,11.23,179.30,208.68,242.97,196.91,0,0010209C1274,0,배당,유경PSG좋은생각자산배분형(주식혼합)CP,,유경PSG 좋은생각자산배분형증권투자신탁(주식혼합형) CLASSC-P,유경PSG 좋은생각자산배분형증권투자신탁(주식혼합형) ClassC-P,KR5145440019,13111412036011111ZZ4,KRZ501913368,0060101,0,주식혼합,00080017,국내,개인,00,해당없음,공모,032670060101,판매중,K55305B76711,Y,00020003,2,높은 위험,2.0,True,2026-07-11,PRFD01N001
KOSPI 200,KOSPI200,KRW,,000,국내,,7.29,,,12911781464.0000,10,10.82,,,,,0,000000000000,0,배당,미래에셋장기성장포커스증권자2(주식)C1,,미래에셋장기성장포커스증권자투자신탁2호(주식)C1,미래에셋장기성장포커스증권자투자신탁2호(주식)C1,KR510902729M,00000000000000000000,KRZ501771553,512963,0,주식형,00080008,국내,해당없음,00,해당없음,공모,031910512960,판매중,KR5301AB9220,Y,00020081,1,매우 높은 위험,1.0,True,2026-07-11,PRFD01N001
KOSPI200 5% +  KIS Bond Index 01Y 95%,KOSPI200 5% + KIS종합채권 01Y 95%,KRW,,000,국내,,,,,,10,,,,,,0,000000000000,0,배당,한화스마트알파자혼CI,,한화스마트알파증권자투자신탁[채권혼합]종류C-i,한화스마트알파증권자투자신탁[채권혼합]종류C-i,KR5135430011,00000000000000000000,KRZ500661294,0010831,0,채권혼합,00040027,국내,해당없음,00,해당없음,공모,030220110831,판매완료,KR5103972588,Y,00020081,,,,False,2026-07-11,PRFD01N001
THREE Month T-Bill[KRW],미국 국채 3개월[원화환산],USD,N,000,글로벌,,0.30,0.89,1.81,176209429.8000,10,0.06,,,,,1,0010186C00OH,0,배당,신한법인용달러MMF제1호(USD)Ci,,SH CORPORATE DOLLAR MMF NO.1(USD)(CLASS_C-I),신한법인용달러MMF제1호(USD)(종류C-i),KR5017410012,1EE219120010282ZZZZ6,KRZ502638143,0275930,0,MMF,00040067,해외,법인,00,해당없음,공모,030480275930,판매중,K55210EN4106,Y,00020054,6,매우 낮은 위험,6.0,True,2026-07-11,PRFD01N001
CALL,CALL,KRW,,000,국내,1.13,0.23,0.68,1.35,2565335575405.0000,10,0.05,-0.38,,,,0,0010179C3616,0,배당,대신국공채법인전용MMF1호CS,,대신 국공채 법인전용 MMF 1호 종류 C-S,대신 국공채 법인전용 MMF 1호 종류 C-S,KR5024410003,1EE11Y120490181ZZZZ6,KRZ502605428,0072161,0,MMF,00040004,국내,법인,00,해당없음,공모,030330072161,판매중,K55203EF0699,Y,00050004,6,매우 낮은 위험,6.0,True,2026-07-11,PRFD01N001
MSCI ACWI CR 50% + KAP Bond Index 01Y 50%,MSCI ACWI CR 50% + 종합채권01Y 50%,KRW,Y,000,글로벌,35.90,1.02,19.26,20.45,145462267263.0000,10,2.09,34.34,44.87,69.94,58.59,0,0010198C2713,0,배당,KB온국민적격TDF2045증투신(주혼재)(H)C-퇴직,,KB 온국민 적격TDF 2045 증권자투자신탁(주식혼합-재간접형)(H)C-퇴직,KB 온국민 적격TDF 2045 증권자투자신탁(주식혼합-재간접형)(H)C-퇴직,KR5127490155,16131A120600211ZZZZB,KRZ502162808,0002X51,0,재간접,00040035,국내외혼합,해당없음,00,해당없음,공모,030230002X51,판매중,K55223BT1740,Y,00020020,3,다소 높은 위험,3.0,True,2026-07-11,PRFD01N001
CALL,CALL,KRW,,000,국내,,,,,1367992.0000,10,,,,,,0,0011440C0525,0,배당,칸서스법인신종MMF투자신탁1호,,칸서스법인신종MMF투자신탁1호,칸서스법인신종MMF투자신탁1호,KR514005002M,1EE11Z1200101ZZZZZZ6,KRZ501879750,10101,0,MMF,00080016,국내,법인,00,해당없음,공모,033400010101,판매완료,KR5233AQ2890,Y,00050004,,,,False,2026-07-11,PRFD01N001
KRX Health Care,KRX 건강산업,KRW,,000,국내,71.54,-10.23,-8.65,6.60,212150629585.0000,10,9.49,50.34,86.25,132.60,71.59,0,0010192C2261,0,배당,DB바이오헬스케어증권자1호(주식)C2,,DB BIO-HEALTHCARE SECURITIES INVESTMENT TRUST [EQUITY] CLASS C2,DB바이오헬스케어증권자투자신탁제1호(주식)C2,KR5131450022,12111412001011111ZZ1,KRZ500593853,0049601,0,주식형,00040006,국내,해당없음,00,해당없음,공모,030190049601,판매중,KR5216170120,Y,00020003,2,높은 위험,2.0,True,2026-07-11,PRFD01N001
KAP CD 26W 90%,KAP CD 6개월  90%,KRW,,000,국내,3.70,0.25,0.35,0.64,14526450717.0000,10,0.41,1.75,6.38,11.89,12.24,0,0010210C4867,0,배당,다올전단채증권투신(채권)C,,다올전단채증권투자신탁[채권] 종류C,다올전단채증권투자신탁[채권] 종류C,KR5152420020,11111412001013121ZZ5,KRZ502029051,0011929,0,채권형,00080013,국내,해당없음,00,해당없음,공모,032400011929,판매중,K55306B99315,Y,00050004,6,매우 낮은 위험,6.0,True,2026-07-11,PRFD01N001
MSCI AC ASIA PACIFIC ex JAPAN,MSCI AC ASIA PACIFIC ex JAPAN,KRW,N,000,글로벌,,,,,,10,,,,,,0,000000000000,0,배당,미래에셋아시아퍼시픽소비성장자1(주)C-B2,,미래에셋아시아퍼시픽소비성장증권자투자신탁1호(주식)(C-B2),미래에셋아시아퍼시픽소비성장증권자투자신탁1호(주식)(C-B2),KR510102036M,00000000000000000000,KRZ500243384,610404,0,주식형,00080008,해외,법인,00,해당없음,공모,031910610400,판매중,KR5301716969,Y,00020054,2,높은 위험,2.0,True,2026-07-11,PRFD01N001
ZEROIN AI Expected Return Index,제로인 대안투자기대수익지수,KRW,Y,000,남미/북미,,,,,0.0000,10,,,,,,0,0010198C2517,0,배당,KB북미유전고배당투자신탁(인프라-재)C3,,KB NORTH AMERICA HIGH INCOME UPSTREAM SPECIAL ASSET FUND(INFRA-FOFS) CLASS C3,KB북미생산유전고배당특별자산투자신탁(인프라-재간접형) C3 클래스,KR5127490023,181214123691067ZZZZA,KRZ501974738,0002M81,0,특별자산,00040035,해외,해당없음,00,해당없음,공모,030230002M81,판매완료,K55223B13123,Y,00020027,,,,False,2026-07-11,PRFD01N001
S&P 500,S&P 500,KRW,Y,000,글로벌,-2.65,-2.57,5.29,-0.93,23044421465.0000,10,-2.90,3.15,6.60,22.22,9.60,0,0011458C0278,0,배당,피델리티연금미국전환형자(주식재간접)Ce,,FIDELITY KOREA - PRS AMERICAN CONVERTIBLE BABY INVESTMENT TRUST (EQUITY-FUND OF FUNDS) CLASS C-E,피델리티연금미국증권전환형자투자신탁(주식-재간접형)Ce,KR515009050M,1612361203610111120C,KRZ501715732,44722,0,재간접,00080029,해외,개인,00,해당없음,공모,033180044711,판매중,KR5235A52511,Y,00020054,3,다소 높은 위험,3.0,True,2026-07-11,PRFD01N001
KOSPI200 25% + KAP Bond Index 01Y 75%,KOSPI200 25% + 종합채권01Y 75%,KRW,,000,국내,18.89,-0.38,0.79,6.73,56710890.0000,10,-0.09,9.53,18.87,18.88,10.38,0,0010172M0007,0,배당,브이아이공모주플러스30회사1(채권혼합),,브이아이공모주플러스30증권투자회사1호(채권혼합),브이아이공모주플러스30증권투자회사1호(채권혼합),KR5116430050,24111Z12301012611ZZ5,KRZ700219960,00AB201,0,채권혼합,00040018,국내,해당없음,00,해당없음,공모,0304200AB201,판매중,KRM104549394,Y,00020004,4,보통 위험,4.0,True,2026-07-11,PRFD01N001
KOSPI 200,KOSPI200,KRW,,000,국내,,,,,,10,,,,,,0,000000000000,0,배당,피델코리아퇴법인주CI,,FIDELITY KOREA RETIREMENT PENSION & CORPORATE FEEDER FUND(EQUITY)CI,피델리티코리아퇴직연금및법인용증권자투자신탁(주식)CI,KR515002051M,00000000000000000000,KRZ501488041,41221,0,주식형,00080029,국내,법인,00,해당없음,공모,033180041211,판매완료,KR5235937012,Y,00020054,,,,False,2026-07-11,PRFD01N001
KOSPI200 50% + KAP Bond Index 01Y 50%,KOSPI200 50% + 종합채권01Y 50%,KRW,,000,국내,106.81,1.59,27.17,52.09,51919827617.0000,10,5.49,88.72,,,,0,0010198C2762,0,배당,KB 퇴직연금성장60증권자(주혼) C,,KB Retirement Pension Equity Mixed,KB 퇴직연금 성장60 증권 자투자신탁(주식혼합) C,KR5127440090,13113412060011111ZZ4,KRZ501204191,0003J02,0,주식혼합,00040035,국내,해당없음,00,해당없음,공모,030230003J02,판매중,K55223BU8692,Y,00020020,3,다소 높은 위험,3.0,True,2026-07-11,PRFD01N001
Bloomberg Global High Yield Excl CMBS & EMG 2% Cap(원화환산) 90% + Call 10%,Bloomberg Global High Yield Excl CMBS & EMG 2% Cap(원화환산) 90% + Call 10%,KRW,N,000,글로벌,,,,,,10,,,,,,0,000000000000,0,배당,슈로더GL-H UH C,,SCHRODER GLOBAL HIGH YIELD FUND UH(BOND-FoFs)C,슈로더글로벌하이일드증권투자신탁UH(채권-재간접형)C,KR517309009M,00000000000000000000,KRZ500571732,7132,0,재간접,00040013,해외,해당없음,00,해당없음,공모,032580007A27,판매완료,KR5230954145,,00020004,,,,False,2026-07-11,PRFD01N001
KOSPI200 25% + KAP Bond Index 01Y 75%,KOSPI200 25% + 종합채권01Y 75%,KRW,,000,국내,44.00,0.69,15.47,28.60,9111218570.0000,10,3.51,41.37,,,,0,0010185C0610,0,배당,신영퇴직연금채권40 증권자(채혼),,신영퇴직연금채권40 증권 자투자신탁(채권혼합),신영퇴직연금채권40 증권 자투자신탁(채권혼합),KR5125431000,14113Z12060012211264,KRZ500213100,00A006,0,채권혼합,00040014,국내,해당없음,00,해당없음,공모,03029000A006,판매중,KR5209542087,Y,00020004,4,보통 위험,4.0,True,2026-07-11,PRFD01N001
MSCI AC ASIA PACIFIC ex JAPAN CR 50% + KAP Bond Index 01Y 50%,MSCI AC ASIA PACIFIC ex JAPAN CR 50% + 종합채권01Y 50%,KRW,Y,000,아시아,,,,,1872901481.0000,10,,,,,,0,0010654C0230,0,배당,슈로더월지급아시안에셋(주식혼합재간접)C,,SCHRODER MONTHLY PAYOUT ASIAN ASSET INCOME FUND OF FUND CLASS C,슈로더월지급아시안에셋인컴증권투자신탁(주식혼합-재간접형)종류C,KR5142490051,1612141207104141123D,KRZ501776343,0007A35,0,재간접,00040013,해외,해당없음,00,해당없음,공모,032580007A35,판매완료,KR5230AC4622,Y,00020027,,,,False,2026-07-11,PRFD01N001
MSCI BRAZIL,MSCI BRAZIL,KRW,N,000,남미/북미,53.00,-2.72,2.29,17.59,2777530489.0000,10,2.10,42.17,58.15,61.06,60.11,0,0010181C2530,0,배당,미래에셋삼바브라질자(주식)Ae,,미래에셋삼바브라질증권자투자신탁 [주식]Ae,미래에셋삼바브라질증권자투자신탁 [주식]Ae,KR5110450017,121236123011211ZZ23A,KRZ501385388,0263021,0,주식형,00080008,해외,해당없음,00,해당없음,공모,031910263021,판매중,KR5205AR9427,Y,00020081,2,높은 위험,2.0,True,2026-07-11,PRFD01N001
MSCI ACWI CR 50% + KAP Bond Index 01Y 50%,MSCI ACWI CR 50% + 종합채권01Y 50%,KRW,Y,000,글로벌,27.96,-0.60,12.92,17.39,486111589050.0000,10,1.02,27.03,34.14,55.36,39.61,0,0010660C6009,0,배당,한국투자적격TDF알아서2045(주혼재)Ce,,한국투자적격TDF알아서2045증권투자신탁(주식혼합-재간접형)종류C-e,한국투자적격TDF알아서2045증권투자신탁(주식혼합-재간접형)종류C-e,KR5113490073,161216120010211ZZZZD,KRZ502119044,0005C86,0,재간접,00040024,해외,해당없음,00,해당없음,공모,032280005C86,판매중,K55101BK7057,Y,00020020,3,다소 높은 위험,3.0,True,2026-07-11,PRFD01N001
MSCI ACWI CR 50% + KAP Bond Index 01Y 50%,MSCI ACWI CR 50% + 종합채권01Y 50%,KRW,N,000,글로벌,23.35,2.63,4.48,7.94,1932486368.0000,10,-0.25,22.69,33.84,49.39,49.03,0,0010203C1007,0,배당,우리PIMCO전략적인컴자[채혼_재](UH)Pe2,,우리PIMCO전략적인컴증권자투자신탁[채권혼합_재간접형](UH)CLASSPE2,우리PIMCO전략적인컴증권자투자신탁[채권혼합_재간접형](UH)ClassPe2,KR5138490145,1612361203602ZZZZZZ4,KRZ50243587D,000Q111,0,재간접,00040007,해외,개인,00,해당없음,공모,03101000Q102,판매중,K55228DB3251,Y,00020088,4,보통 위험,4.0,True,2026-07-11,PRFD01N001
KOSPI200 25% + KIS Bond Index 01Y 75%,KOSPI200 25% + KIS채권종합01Y 75%,KRW,,000,국내,,,,,,10,,,,,,0,000000000000,0,배당,하이배당30증권1채혼,,하이카멜레온배당30증권투자신탁 1[채권혼합] C,하이카멜레온배당30증권투자신탁 1[채권혼합] C,KR5116430011,00000000000000000000,KRZ501134202,000D086,0,채권혼합,00040018,국내,해당없음,00,해당없음,공모,03042000D086,판매완료,KR5104462662,,00020032,,,,False,2026-07-11,PRFD01N001
KOSPI200 25% + KAP Bond Index 01Y 75%,KOSPI200 25% + 종합채권01Y 75%,KRW,,000,국내,65.14,2.30,18.07,32.46,241750314144.0000,10,3.16,51.15,55.64,69.45,71.22,0,0011317C2538,0,배당,NH-Amundi필승코리아30증권[채-혼]A,,NH-AMUNDI VICTORIOUS KOREA30 SIT[BOND BAL.] CLASS A,NH-Amundi 필승코리아30 증권투자신탁[채권혼합] Class A,KR5144430010,14111212001012111264,KRZ502397051,00BPM37,0,채권혼합,00040040,국내,해당없음,00,해당없음,공모,0325700BPM37,판매중,K55232D13658,Y,00020020,4,보통 위험,4.0,True,2026-07-11,PRFD01N001
KOSPI200 50% + KAP Bond Index 01Y 50%,KOSPI200 50% + 종합채권01Y 50%,KRW,,000,국내,110.36,1.33,27.06,52.47,12604729146.0000,10,4.65,89.31,102.64,116.02,93.52,0,0010173C6643,0,배당,삼성클래식60연금전환자투자1(주식혼합)C,,삼성클래식60연금증권전환형자투자신탁제1호(주식혼합)C,삼성클래식60연금증권전환형자투자신탁제1호(주식혼합)C,KR5114440021,13113412036012111114,KRZ501749321,0209922,0,주식혼합,00040010,국내,개인,00,해당없음,공모,030200209922,판매중,K55105BH0962,Y,00020081,3,다소 높은 위험,3.0,True,2026-07-11,PRFD01N001
KOSPI 200,KOSPI200,KRW,,000,국내,243.37,-1.00,42.88,97.82,54380509441.0000,10,10.16,182.66,190.33,213.11,191.15,0,000000000000,0,배당,미래에셋코어밸류자1호(주식)Ae,,미래에셋코어밸류증권자투자신탁1호(주식)AE,미래에셋코어밸류증권자투자신탁1호(주식)Ae,KR5153450286,00000000000000000000,KRZ50115265A,0511401,0,주식형,00080008,국내,해당없음,00,해당없음,공모,031910511401,판매중,KR5301AT1821,Y,00020081,2,높은 위험,2.0,True,2026-07-11,PRFD01N001
Bloomberg  EURO-AGGREGATE(EUR) 90%,Bloomberg  EURO-AGGREGATE(EUR) 90%,KRW,Y,000,유럽,,,,,956557604.0000,20,,,,,,0,0010173C8247,0,배당,삼성유럽국채목표전환형증권1[채-재]CP,,삼성유럽국채목표전환형증권투자신탁 제1호[채권-재간접형]C-P,삼성유럽국채목표전환형증권투자신탁 제1호[채권-재간접형]C-P,KR5114420115,16111A320360132ZZZZD,KRZ502350001,0119944,0,재간접,00040010,해외,개인,00,해당없음,공모,030200119944,판매완료,K55105CR6677,Y,00020004,,,,False,2026-07-11,PRFD01N001
